替	6376	ti4	100
夜	6318	ye4	100
至	6317	zhi4	100
扯	6306	che3	100
懒	6305	lan3	100
腰	6299	yao1	100
房	6299	fang2	100
船	6292	chuan2	100
香	6281	xiang1	100
安	6272	an1	100
奔	6248	ben1	96
穿	6232	chuan1	100
凭	6231	ping2	100
咦	6212	yi2	100
杯	6206	bei1	100
泪	6199	lei4	100
慢	6170	man4	100
虐	6163	nve4	100
擦	6151	ca1	100
逛	6148	guang4	100
碎	6142	sui4	100
既	6120	ji4	100
痘	6116	dou4	100
题	6100	ti2	100
舔	6096	tian3	100
凉	6087	liang2	100
准	6083	zhun3	100
占	6078	zhan4	100
屁	6069	pi4	100
胸	6060	xiong1	100
国	6043	guo2	100
声	6032	sheng1	100
蛇	5970	she2	100
称	5961	cheng1	100
拖	5952	tuo1	100
盘	5950	pan2	100
控	5921	kong4	100
血	5896	xie3	100
咧	5857	lie3	100
忒	5849	tui1	100
味	5833	wei4	100
交	5820	jiao1	100
投	5795	tou2	100
偷	5792	tou1	100
涨	5784	zhang3	100
躲	5777	duo3	100
抹	5813	mo3	100
副	5691	fu4	100
式	5680	shi4	100
搬	5677	ban1	100
咪	5663	mi1	100
尽	5662	jin4	100
堵	5661	du3	100
藏	5659	cang2	95
山	5651	shan1	100
虎	5648	hu3	100
乐	5636	le4	100
左	5611	zuo3	100
吵	5556	chao3	100
岂	5540	qi3	100
欠	5524	qian4	100
解	5506	jie3	100
笨	5491	ben4	100
寄	5484	ji4	100
麽	5468	mo2	100
修	5443	xiu1	100
烧	5437	shao1	100
眼	5433	yan3	100
机	5391	ji1	100
相	5390	xiang1	100
套	5386	tao4	100
撑	5381	cheng1	100
蝎	5371	xie1	100
落	5363	luo4	95
绿	5362	lv4	100
折	5358	zhe2	100
甜	5347	tian2	100
糖	5341	tang2	100
奥	5339	ao4	100
看	5189	kan1	1
鬼	5314	gui3	100
份	5307	fen4	100
烤	5305	kao3	100
命	5279	ming4	100
象	5271	xiang4	100
节	5267	jie2	100
惨	5262	can3	100
熟	5256	shou2	100
瞧	5251	qiao2	100
海	5203	hai3	100
墙	5182	qiang2	100
哥	5180	ge1	100
作	5177	zuo4	95
鸭	5174	ya1	100
样	5166	yang4	100
圆	5165	yuan2	100
嫌	5156	xian2	100
身	5155	shen1	100
逗	5155	dou4	100
断	5113	duan4	100
歪	5093	wai1	100
戏	5085	xi4	100
段	5079	duan4	100
罗	5066	luo2	100
窝	5066	wo1	100
盖	5104	gai4	100
羊	5038	yang2	100
鸟	5012	niao3	100
闲	4997	xian2	100
美	4996	mei3	100
夹	4978	jia2	100
觉	4976	jue2	100
炒	4964	chao3	100
莫	4956	mo4	100
傻	4919	sha3	100
篇	4895	pian1	100
租	4884	zu1	100
周	4852	zhou1	100
桥	4843	qiao2	100
中	5007	zhong4	1
队	4816	dui4	100
碰	4814	peng4	100
哈	4798	ha1	100
哭	4756	ku1	100
区	4975	qu1	100
场	4749	chang3	100
吻	4740	wen3	100
男	4735	nan2	100
量	4896	liang2	90
哄	4729	hong3	100
签	4723	qian1	100
哒	4704	da1	100
需	4670	xu1	100
流	4659	liu2	100
杨	4649	yang2	100
逼	4646	bi1	100
娃	4641	wa2	100
劝	4635	quan4	100
圈	4634	quan1	100
集	4610	ji2	100
语	4607	yu3	100
涂	4602	tu2	100
平	4598	ping2	100
期	4830	qi1	100
暖	4549	nuan3	100
座	4540	zuo4	100
缺	4518	que1	100
矮	4500	ai3	100
软	4489	ruan3	100
憋	4479	bie1	100
肥	4474	fei2	100
退	4443	tui4	100
扑	4437	pu1	100
耍	4427	shua3	100
牌	4420	pai2	100
烟	4415	yan1	100
狼	4413	lang2	100
减	4412	jian3	100
抄	4399	chao1	100
瘦	4379	shou4	100
理	4375	li3	100
劈	4353	pi1	100
印	4351	yin4	100
望	4341	wang4	100
陈	4316	chen2	100
郑	4308	zheng4	100
蹲	4289	dun1	100
恋	4287	lian4	100
兔	4264	tu4	100
知	4225	zhi1	100
娘	4225	niang2	100
驴	4222	lv2	100
辣	4217	la4	100
偏	4187	pian1	100
噶	4172	ga2	100
据	4164	ju4	100
清	4126	qing1	100
游	4120	you2	100
粮	4113	liang2	100
归	4098	gui1	100
灰	4092	hui1	100
姓	4077	xing4	100
绝	4070	jue2	100
么	4057	me5	100
欲	4057	yu4	100
豆	4021	dou4	100
剧	3988	ju4	100
卷	4756	juan3	95
应	4734	ying1	95
论	3944	lun4	100
师	3950	shi1	100
犯	3950	fan4	100
岁	3941	sui4	100
捉	3898	zhuo1	100
扣	3894	kou4	100
较	3880	jiao4	100
齐	3874	qi2	100
灯	3858	deng1	100
明	3858	ming2	100
酸	3848	suan1	100
帝	3841	di4	100
值	3836	zhi2	100
症	3616	zheng4	100
季	3800	ji4	100
土	3795	tu3	100
右	3787	you4	100
啃	3785	ken3	100
熬	3754	ao2	100
揍	3735	zou4	100
赶	3733	gan3	100
银	3729	yin2	100
合	3728	he2	100
细	3726	xi4	100
厚	3720	hou4	100
西	3707	xi1	100
南	3706	nan2	100
狂	3691	kuang2	100
随	3687	sui2	100
瞅	3670	chou3	100
界	3666	jie4	100
盯	3659	ding1	100
趁	3652	chen4	100
淡	3639	dan4	100
轻	3632	qing1	100
岛	3631	dao3	100
嗷	3617	ao2	100
拔	3615	ba2	100
猛	3611	meng3	100
扒	3600	ba1	100
宝	3597	bao3	100
脱	3586	tuo1	100
方	3575	fang1	100
刮	3566	gua1	100
费	3532	fei4	100
遍	3530	bian4	100
抠	3528	kou1	100
霜	3524	shuang1	100
星	3505	xing1	100
夸	3502	kua1	100
邮	3499	you2	100
睇	3491	di4	100
汪	3490	wang1	100
菇	3460	gu1	100
易	3459	yi4	100
蒸	3458	zheng1	100
愁	3435	chou2	100
似	3347	si4	100
足	3428	zu2	100
揉	3424	rou2	100
佛	3424	fo2	100
六	3404	liu4	100
龙	3399	long2	100
糗	3388	qiu3	100
馋	3380	chan2	100
刘	3376	liu2	100
服	3366	fu2	100
蟹	3366	xie4	100
牙	3363	ya2	100
富	3359	fu4	100
吾	3354	wu2	100
七	3349	qi1	100
常	3343	chang2	100
底	3340	di3	100
仅	3338	jin3	100
习	3336	xi2	100
粘	3322	zhan1	100
奖	3316	jiang3	100
妆	3315	zhuang1	100
爷	3314	ye2	100
吼	3312	hou3	100
弯	3312	wan1	100
炖	3306	dun4	100
嫩	3304	nen4	100
文	3289	wen2	100
基	3285	ji1	100
经	3284	jing1	100
坨	3280	tuo2	100
射	3271	she4	100
薄	3254	bao2	100
隔	3251	ge2	100
史	3248	shi3	100
伞	3245	san3	100
搓	3236	cuo1	100
跌	3230	die1	100
雾	3227	wu4	100
必	3225	bi4	100
呸	3223	pei1	100
捧	3215	peng3	100
钻	2959	zuan1	95
困	3192	kun4	100
掰	3160	bai1	100
令	3159	ling4	100
怎	3155	zen3	100
猜	3152	cai1	100
刺	3151	ci4	100
答	3151	da2	100
冒	3149	mao4	100
凶	3148	xiong1	100
酱	3094	jiang4	100
趴	3089	pa1	100
闪	3070	shan3	100
昂	3059	ang2	100
紧	3041	jin3	100
贼	3032	zei2	100
电	3021	dian4	100
具	3007	ju4	100
压	3003	ya1	100
雷	2985	lei2	100
仔	2902	zai3	100
湿	2959	shi1	100
登	2949	deng1	100
啪	2948	pa1	100
弹	2835	tan2	95
百	2938	bai3	100
终	2921	zhong1	100
哆	2907	duo1	100
酷	2906	ku4	100
波	2893	bo1	100
林	2880	lin2	100
煮	2874	zhu3	100
治	2867	zhi4	100
醉	2867	zui4	100
唯	2857	wei2	100
鸡	2849	ji1	100
炸	2778	zha4	95
砍	2827	kan3	100
原	2825	yuan2	100
咳	2810	ke2	100
猿	2798	yuan2	100
秤	2797	cheng4	100
害	2792	hai4	100
甚	2790	shen4	100
锅	2784	guo1	100
官	2782	guan1	100
遭	2780	zao1	100
赌	2779	du3	100
怒	2779	nu4	100
行	2625	hang2	10
飘	2778	piao1	100
胡	2770	hu2	100
村	2757	cun1	100
扫	2645	sao3	100
订	2744	ding4	100
卧	2737	wo4	100
捂	2725	wu3	100
播	2725	bo1	100
梦	2724	meng4	100
伐	2724	fa2	100
勒	0	le4	0
啰	0	luo1	0
割	2717	ge1	100
淘	2708	tao2	100
埋	2707	mai2	100
塞	2706	sai1	100
略	2703	lve4	100
淫	2697	yin2	100
宽	2689	kuan1	100
透	2675	tou4	100
凑	2665	cou4	100
劲	2664	jin4	100
届	2660	jie4	100
胃	2656	wei4	100
嬛	2645	xuan1	100
残	2637	can2	100
封	2628	feng1	100
属	2627	shu3	100
爆	2625	bao4	100
粥	2625	zhou1	100
脑	2625	nao3	100
福	2624	fu2	100
於	2366	yu2	100
韩	2613	han2	100
废	2608	fei4	100
升	2601	sheng1	100
煎	2600	jian1	100
征	2592	zheng1	100
捞	2584	lao1	100
罚	2582	fa2	100
慌	2579	huang1	100
价	2570	jia4	100
今	2556	jin1	100
叠	2553	die2	100
饼	2549	bing3	100
母	2548	mu3	100
嘎	2267	ga1	100
吖	2541	a1	100
存	2539	cun2	100
杜	2538	du4	100
胜	2534	sheng4	100
虽	2532	sui1	100
毒	2532	du2	100
妖	2526	yao1	100
叼	2524	diao1	100
负	2514	fu4	100
春	2498	chun1	100
虾	2478	xia1	100
迷	2460	mi2	100
长	2149	zhang3	5
寸	2448	cun4	100
体	2441	ti3	100
供	2440	gong1	100
抛	2434	pao1	100
烫	2427	tang4	100
拽	2411	zhuai4	100
炮	2403	pao4	100
防	2403	fang2	100
冻	2396	dong4	100
编	2393	bian1	100
侠	2384	xia2	100
勿	2382	wu4	100
纹	2372	wen2	100
闻	2349	wen2	100
肿	2348	zhong3	100
北	2345	bei3	100
守	2339	shou3	100
挡	2339	dang3	100
拌	2335	ban4	100
甄	2332	zhen1	100
牵	2326	qian1	100
壳	2253	ke2	100
克	2313	ke4	100
摄	2312	she4	100
布	2310	bu4	100
怂	2302	song3	100
奶	2300	nai3	100
曰	2298	yue1	100
霾	2286	mai2	100
颗	2272	ke1	100
泥	2251	ni2	100
铺	2041	pu1	95
洞	2090	dong4	100
瑟	2237	se4	100
遮	2235	zhe1	100
澡	2233	zao3	100
痒	2232	yang3	100
锁	2228	suo3	100
吸	2227	xi1	100
敷	2226	fu1	100
德	2215	de2	100
踹	2210	chuai4	100
介	2203	jie4	100
吊	2197	diao4	100
舞	2184	wu3	100
含	2175	han2	100
浓	2168	nong2	100
料	2163	liao4	100
蹦	2159	beng4	100
处	1934	chu3	20
潮	2150	chao2	100
现	2149	xian4	100
散	4014	san3	100
郭	2146	guo1	100
散	0	san4	0
罪	2132	zui4	100
证	2130	zheng4	100
亏	2114	kui1	100
剃	2110	ti4	100
摇	2105	yao2	100
素	2102	su4	100
肾	2102	shen4	100
精	2097	jing1	100
沾	2092	zhan1	100
喔	2089	wo1	100
盒	2089	he2	100
数	1746	shu3	20
犬	2082	quan3	100
通	2079	tong1	100
铁	2071	tie3	100
攒	2030	zan3	100
架	2058	jia4	100
腻	2058	ni4	100
公	2056	gong1	100
露	2056	lou4	100
著	2050	zhu4	100
晃	2047	huang4	100
翘	2015	qiao4	100
潘	2041	pan1	100
砖	2036	zhuan1	100
孔	2035	kong3	100
乳	2033	ru3	100
食	2032	shi2	100
建	2031	jian4	100
垫	2031	dian4	100
什	2028	shi2	100
捅	2026	tong3	100
饱	2023	bao3	100
欧	2023	ou1	100
伪	2021	wei3	100
兽	2017	shou4	100
盼	2016	pan4	100
滑	2014	hua2	100
运	2012	yun4	100
